id,observed_on,time_observed_at,captive_cultivated,longitude,latitude,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name,,
272865588,2025-04-25T00:00:00,2025-04-25T10:38:43,False,113.610251,22.110772,Plantae,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Blechnaceae,Blechnum,Blechnum orientale,,,
272867646,2025-04-25T00:00:00,2025-04-25T10:37:29,False,113.5948867,22.13132217,Plantae,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex pubescens,,,
273542929,2025-04-26T00:00:00,2025-04-26T10:37:01,True,113.5966658,22.10445409,Plantae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Synsepalum,Synsepalum dulcificum,,,
273551166,2025-04-26T00:00:00,2025-04-26T10:56:04,False,113.5801981,22.20482598,Reptilia,Animalia,Chordata,Reptilia,Testudines,Platysternidae,Platysternon,Platysternon megacephalum,,,
273691480,2025-04-26T00:00:00,2025-04-26T17:21:29,True,113.5706523,22.18102674,Aves,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,,,
273718114,2025-04-26T00:00:00,2025-04-26T18:31:29,False,113.5684431,22.17073632,Plantae,Plantae,Tracheophyta,Gnetopsida,Gnetales,Gnetaceae,Gnetum,Gnetum luofuense,,,
273730324,2025-04-26T00:00:00,2025-04-26T19:00:58,False,113.5903547,22.1393922,Plantae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros vaccinioides,,,
273738303,2025-04-26T00:00:00,2025-04-26T16:24:56,False,113.5532417,22.10487059,Plantae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros vaccinioides,,,
273980915,2025-04-26T00:00:00,2025-04-26T18:03:16,False,113.5508827,22.10814297,Plantae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Artocarpus,Artocarpus hypargyreus,,,
274069541,2025-04-26T00:00:00,2025-04-26T15:34:00,False,113.5935107,22.18778163,Aves,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Thinornis,Thinornis dubius,,,
274069612,2025-04-26T00:00:00,2025-04-26T17:08:00,False,113.5985944,22.1775505,Insecta,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Erthesina,Erthesina fullo,,,
274069706,2025-04-26T00:00:00,2025-04-26T16:54:00,False,113.5948941,22.12734409,Insecta,Animalia,Arthropoda,Insecta,Odonata,Platycnemididae,Copera,Copera marginipes,,,
