csv_line,longitude,latitude,distance_degree,iconic_taxon_name,taxon_species_name,time_observed_at
3419,113.5505408049,22.1774786183,0.007026,Mollusca,Acanthosepion pharaonis,
4283,113.573916,22.113253,0.003252,Insecta,Cryptotympana atrata,2026-04-25T14:48:14
4992,113.5708375835,22.1205314366,0.003046,Insecta,Cryptotympana mandarina,2026-04-25T15:59:00
7177,113.573916,22.113253,0.003252,Plantae,Ageratum conyzoides,2026-04-25T14:43:15
8677,113.5709825903,22.120918488,0.003014,Plantae,Eragrostis cilianensis,
17425,113.555642233,22.181670582,0.005271,Insecta,Pseudoxya diminuta,2026-04-27T00:21:00
