id,observed_on,time_observed_at,captive_cultivated,longitude,latitude,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name,nearest_area,distance_to_land_m,问题说明
352978136,2026-04-25T00:00:00,2026-04-25T02:09:00,False,113.5948397947,22.1731813521,Aves,Animalia,Chordata,Aves,Gruiformes,Rallidae,Amaurornis,Amaurornis phoenicurus,,氹仔,1116,"坐标(113.5948397947, 22.1731813521)不在澳门陆地区域内，距离最近区域“氹仔”约1116米，疑似位于海上或超出正常陆地范围"
353282278,2026-04-25T00:00:00,2026-04-25T12:36:00,False,113.5940420974,22.2066692691,Plantae,Plantae,Tracheophyta,Gnetopsida,Gnetales,Gnetaceae,Gnetum,Gnetum luofuense,,新城A区,2511,"坐标(113.5940420974, 22.2066692691)不在澳门陆地区域内，距离最近区域“新城A区”约2511米，疑似位于海上或超出正常陆地范围"
353361092,2026-04-25T00:00:00,2026-04-25T16:12:38,False,113.564921,22.1666,Plantae,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Triadica,Triadica cochinchinensis,,氹仔,84,"坐标(113.564921, 22.1666)不在澳门陆地区域内，距离最近区域“氹仔”约84米，疑似位于海上或超出正常陆地范围"
353380730,2026-04-25T00:00:00,2026-04-25T16:58:14,False,113.5886700579,22.2135434832,Plantae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Camellia,Camellia hongkongensis,,新城A区,2161,"坐标(113.5886700579, 22.2135434832)不在澳门陆地区域内，距离最近区域“新城A区”约2161米，疑似位于海上或超出正常陆地范围"
353439829,2026-04-25T00:00:00,2026-04-25T10:08:03,False,113.5719194444,22.1771861111,Aves,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres cristatellus,,氹仔,649,"坐标(113.5719194444, 22.1771861111)不在澳门陆地区域内，距离最近区域“氹仔”约649米，疑似位于海上或超出正常陆地范围"
353625562,2026-04-25T00:00:00,2026-04-25T17:11:11,False,113.5712210056,22.1882640846,Plantae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros vaccinioides,,新城A区,155,"坐标(113.5712210056, 22.1882640846)不在澳门陆地区域内，距离最近区域“新城A区”约155米，疑似位于海上或超出正常陆地范围"
353755475,2026-04-25T00:00:00,2026-04-25T18:19:25,False,113.5763833333,22.1212166667,Aves,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,,路环,291,"坐标(113.5763833333, 22.1212166667)不在澳门陆地区域内，距离最近区域“路环”约291米，疑似位于海上或超出正常陆地范围"
353804078,2026-04-25T00:00:00,2026-04-25T17:41:00,False,113.5999037659,22.1755808498,Insecta,Animalia,Arthropoda,Insecta,Coleoptera,Cicindelidae,Cosmodela,Cosmodela aurulenta,,氹仔,1668,"坐标(113.5999037659, 22.1755808498)不在澳门陆地区域内，距离最近区域“氹仔”约1668米，疑似位于海上或超出正常陆地范围"
353804131,2026-04-25T00:00:00,2026-04-25T18:03:00,False,113.5884828621,22.1051706824,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lexias,Lexias pardalis,,路环,1722,"坐标(113.5884828621, 22.1051706824)不在澳门陆地区域内，距离最近区域“路环”约1722米，疑似位于海上或超出正常陆地范围"
353804309,2026-04-25T00:00:00,2026-04-25T21:39:00,False,113.5858731704,22.1199478553,Insecta,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nanodiodes,Nanodiodes piceus,,路环,583,"坐标(113.5858731704, 22.1199478553)不在澳门陆地区域内，距离最近区域“路环”约583米，疑似位于海上或超出正常陆地范围"
353989548,2026-04-24T00:00:00,2026-04-24T18:35:00,False,113.5580165187,22.1667850279,Plantae,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sphagneticola,Sphagneticola trilobata,,氹仔,80,"坐标(113.5580165187, 22.1667850279)不在澳门陆地区域内，距离最近区域“氹仔”约80米，疑似位于海上或超出正常陆地范围"
353999076,2026-04-24T00:00:00,2026-04-24T11:32:00,False,113.55436657,22.167832109,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Delias,Delias pasithoe,,氹仔,210,"坐标(113.55436657, 22.167832109)不在澳门陆地区域内，距离最近区域“氹仔”约210米，疑似位于海上或超出正常陆地范围"
354235644,2026-04-26T00:00:00,2026-04-26T10:30:10,False,113.5633842129,22.1734288979,Plantae,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Nandina,Nandina domestica,,氹仔,306,"坐标(113.5633842129, 22.1734288979)不在澳门陆地区域内，距离最近区域“氹仔”约306米，疑似位于海上或超出正常陆地范围"
354247207,2026-04-26T00:00:00,2026-04-26T00:40:00,False,113.5742654973,22.1214898049,Plantae,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis debilis,,路环,254,"坐标(113.5742654973, 22.1214898049)不在澳门陆地区域内，距离最近区域“路环”约254米，疑似位于海上或超出正常陆地范围"
354309833,2026-04-26T00:00:00,2026-04-26T19:57:50,False,113.5740042536,22.1228652514,Insecta,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Opisthoplatia,Opisthoplatia orientalis,,路环,135,"坐标(113.5740042536, 22.1228652514)不在澳门陆地区域内，距离最近区域“路环”约135米，疑似位于海上或超出正常陆地范围"
354315687,2026-04-26T00:00:00,2026-04-26T20:11:00,False,113.5740061127,22.1229584159,Fungi,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucocoprinus,Leucocoprinus fragilissimus,,路环,129,"坐标(113.5740061127, 22.1229584159)不在澳门陆地区域内，距离最近区域“路环”约129米，疑似位于海上或超出正常陆地范围"
